datetime,title,link,summary
2019-03-04,['ServiceTitan Names Former PlayStation and Intuit Executive Guy ... - PR Newswire'],['https://news.google.com/rss/articles/CBMiqgFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2VzL3NlcnZpY2V0aXRhbi1uYW1lcy1mb3JtZXItcGxheXN0YXRpb24tYW5kLWludHVpdC1leGVjdXRpdmUtZ3V5LWxvbmd3b3J0aC1hcy1jb21wYW55cy1maXJzdC1jaGllZi1tYXJrZXRpbmctb2ZmaWNlci0zMDA4MDUyODIuaHRtbNIBAA?oc=5'],"['Guy Longworth, a veteran executive with more than 30 years of experience in sales and marketing for global brands like Intuit QuickBooks and Sony PlayStation, will join ServiceTitan as its first chief marketing officer.\nLongworth most recently served as global chief marketing officer and senior vice president Intuit Small Business and Self-Employed Group (QuickBooks), where he launched the 2018 ""Backing You"" campaign.\nPrior to Intuit, Longworth was senior vice president of marketing for Sony PlayStation, where his team was responsible for the 2013 launch of the PlayStation 4, which was the most successful gaming console launch in history.\n""During his time at Intuit and Sony PlayStation, the companies enjoyed spectacular growth in customer acquisition, revenue and profit.\nIn addition to his experience at Intuit and Sony PlayStation, Guy has enjoyed a successful career, including serving as CMO for Kellogg U.K. and Ireland.']"
2019-03-06,"[""Intuit displays Susan Te Kahurangi King's artwork in spring exhibition - Daily Northwestern""]",['https://news.google.com/rss/articles/CBMiW2h0dHBzOi8vZGFpbHlub3J0aHdlc3Rlcm4uY29tLzIwMTkvMDMvMDYvYWUvaW50dWl0LXNob3djYXNlcy1ub24tdmVyYmFsLWFydGlzdHMtbGlmZXMtd29yay_SAQA?oc=5'],"['Susan Te Kahurangi King’s early artwork depicts surreal landscapes and abstract cartoon imageries.\nTheir open mouths are frozen mid-shout, but their creator, Susan Te Kahurangi King, hasn’t spoken a word in over 50 years.\nThe New Zealand-based artist’s work will be on display at The Center For Intuitive And Outsider Art (Intuit) in a new exhibition, “Susan Te Kahurangi King: 1958-2018,” Thursday through Aug. 4.\nIn 2005, Cole said she decided to promote King’s drawings through digitizing and cataloging her previous works.\nThe Intuit exhibition includes King’s recent work of gouache brush and mosaics, along with many childhood drawings.']"
2019-03-12,"['Susan Te Kahurangi King at Intuit: The Center for Intuitive and Outsider Art, Chicago - ARTnews']",['https://news.google.com/rss/articles/CBMiU2h0dHBzOi8vd3d3LmFydG5ld3MuY29tL2FydC1uZXdzL25ld3Mvc3VzYW4tdGUta2FodXJhbmdpLWtpbmctaW50dWl0LWNoaWNhZ28tMTIxMTMv0gFXaHR0cHM6Ly93d3cuYXJ0bmV3cy5jb20vYXJ0LW5ld3MvbmV3cy9zdXNhbi10ZS1rYWh1cmFuZ2kta2luZy1pbnR1aXQtY2hpY2Fnby0xMjExMy9hbXAv?oc=5'],"['Susan Te Kahurangi King , Untitled, 2015, ink on paper.\nCOURTESY THE ARTIST, ANDREW EDLIN GALLERY, NEW YORK, AND MARLBOROUGH CONTEMPORARY, LONDON AND NEW YORKPictures at an Exhibition presents images of one notable show every weekday.\nToday’s show: “Susan Te Kahurangi King: 1958-2018” is on view at Intuit: The Center for Intuitive and Outsider Art in Chicago through Sunday, August 4.\nThe solo exhibition, curated by Alison Amick, features more than 60 drawings by the New Zealand–based artist, as well as memorabilia from the personal archive of her sister, Petita Cole.']"
2019-03-21,['Intuit CEO Sasan Goodarzi on AI and Leadership - Business Insider'],['https://news.google.com/rss/articles/CBMiUWh0dHBzOi8vd3d3LmJ1c2luZXNzaW5zaWRlci5jb20vaW50dWl0LWNlby1zYXNhbi1nb29kYXJ6aS1haS1taWNyb3NvZnQtY2VvLTIwMTktM9IBAA?oc=5'],"['AdvertisementSasan Goodarzi stepped up as CEO of Intuit - the company behind products like Intuit and TurboTax - in January, replacing 11-year chief exec Brad Smith.\nNow, Goodarzi says, his biggest challenge will be helping Intuit become an artificial intelligencecompany, the same way that Smith led Intuit to become a cloud company.\nSasan Goodarzi has some big shoes to fill, three months or so into his reign as CEO of $66.5 billion Intuit.\n""It\'s actually a cultural change that we have to go through internally to understand the impact of artificial intelligence,"" Goodarzi said.\nAs with cloud computing, AI is forcing Intuit to rethink and reorganize its approach to products, even its most successful products.']"
2019-04-17,['Software Giant Intuit Is Seeking a New Global Creative Agency of ... - Adweek'],['https://news.google.com/rss/articles/CBMiaGh0dHBzOi8vd3d3LmFkd2Vlay5jb20vYWdlbmNpZXMvc29mdHdhcmUtZ2lhbnQtaW50dWl0LWlzLXNlZWtpbmctYS1uZXctZ2xvYmFsLWNyZWF0aXZlLWFnZW5jeS1vZi1yZWNvcmQv0gEA?oc=5'],"['From Silicon Valley software maker Intuit comes the latest example of an increasingly rare event: a global creative agency of record review.\nAccording to multiple sources with direct knowledge of the matter, the company issued an RFP earlier this month seeking a shop to handle work promoting its primary brand.\nOmnipresent advisory firm MediaLink is managing the review, which sources say will not affect Intuit’s relationships with Wieden + Kennedy or TBWA\\Chiat\\Day, which handle TurboTax and QuickBooks, respectively.']"
2019-04-29,['Data Sheet—The Tech Industry’s Greatest Coach - Fortune'],['https://news.google.com/rss/articles/CBMiRWh0dHBzOi8vZm9ydHVuZS5jb20vMjAxOS8wNC8yOS9kYXRhLXNoZWV0LWJpbGwtY2FtcGJlbGwtY29hY2gtaW50dWl0L9IBSWh0dHBzOi8vZm9ydHVuZS5jb20vMjAxOS8wNC8yOS9kYXRhLXNoZWV0LWJpbGwtY2FtcGJlbGwtY29hY2gtaW50dWl0L2FtcC8?oc=5'],"[""It has been three years since Silicon Valley lost one of its greats, Bill Campbell, the former Intuit CEO, Apple board member, executive coach to the great and less-great, and billionaire beer drinker.\nThe Wall Street Journal also published a good interview with Schmidt, who explains some of Campbell’s folksy advice.\nHere’s how I ended my ode to Campbell the week he died in 2016:Bill Campbell was a hugger.\nHis hugs weren’t the one-arm “bro hug” pat-downs popular with app-economy entrepreneurs of Silicon Valley today.\nThe latest unicorn to go public, Slack, will follow in Spotify's footsteps and join the stock market directly, without a typical underwritten offering of new shares by Wall Street banks.""]"
2019-05-07,['Intuit QuickBooks Payment Gateway - PandaDoc'],['https://news.google.com/rss/articles/CBMiSWh0dHBzOi8vd3d3LnBhbmRhZG9jLmNvbS9pbnRlZ3JhdGlvbnMvcGF5bWVudC9xdWlja2Jvb2tzLXBheW1lbnQtZ2F0ZXdheS_SAQA?oc=5'],"['PandaDoc makes it easy for you to quickly see the number of documents waiting for payment, as well as the payment status of your other documents.\nNow staying organized is easy — just find the proposals in the “Waiting for Payment” status.']"
2019-05-08,"['ADP and Intuit Partner to Enhance Cross-Platform Integration with ... - CPAPracticeAdvisor.com', 'ADP, Intuit Strengthen Small Business Services - HCM Technology Report']","['https://news.google.com/rss/articles/CBMiiAFodHRwczovL3d3dy5jcGFwcmFjdGljZWFkdmlzb3IuY29tLzIwMTkvMDUvMDgvYWRwLWFuZC1pbnR1aXQtcGFydG5lci10by1lbmhhbmNlLWNyb3NzLXBsYXRmb3JtLWludGVncmF0aW9uLXdpdGgtcXVpY2tib29rcy1vbmxpbmUvMzM2MzQv0gEA?oc=5', 'https://news.google.com/rss/articles/CBMiUmh0dHBzOi8vd3d3LmhjbXRlY2hub2xvZ3lyZXBvcnQuY29tL2FkcC1pbnR1aXQtc3RyZW5ndGhlbi1zbWFsbC1idXNpbmVzcy1zZXJ2aWNlcy_SAQA?oc=5']","['QuickBooks ProAdvisors have the ability to access this functionality for all their RUN clients through Accountant Connect, ADP’s cloud-based client platform.\nADP and Intuit have partnered to allow QuickBooks Online users to seamlessly connect their accounting data with RUN Powered by ADP, minimizing effort and providing an easy, real-time experience that best meets their business needs.\n“Accountants are increasingly transitioning into the role of strategic business advisor,” said Joe DeSilva, SVP, Small Business Services at ADP.\n“Intuit and ADP are both committed to helping accountants and small business owners succeed,” said Ariege Misherghi, Accountant Leader at Intuit.\nDemonstrations will be available in the ADP booths at Scaling New Heights 2019 in Salt Lake City in June and QuickBooks Connect 2019 in San Jose in November.', 'ADP announced a new component in its cross-platform relationship with QuickBooks developer Intuit.\nAs of today, QuickBooks Online users can connect their accounting data, in real time, with ADP’s RUN small business payroll software.\n“This is pretty exciting because you have a big player like ADP recognizing the need for small business,” said one CPA and business advisor.\nQuickbooks controls the lion’s share of the micro-business financial software market, and small business owners continue to tell us that when it comes to payroll, the first solutions that come to their minds are ADP, Ceridian, Paychex and Intuit Payroll.\nWe continue to believe, as we did last year, the ADP has the most to gain from its partnership with Intuit.']"
2019-05-21,"[""Intuit Technologies' ocean link transforms salmon feeding - Networking - CRN Australia""]",['https://news.google.com/rss/articles/CBMiXmh0dHBzOi8vd3d3LmNybi5jb20uYXUvZmVhdHVyZS9pbnR1aXQtdGVjaG5vbG9naWVzLW9jZWFuLWxpbmstdHJhbnNmb3Jtcy1zYWxtb24tZmVlZGluZy01MjUyODXSAQA?oc=5'],"[""Intuit Technologies has many big customers, but one, in particular, has made headlines more than once.\nIntuit Technologies' work with Tassal, the biggest producer of Tasmanian salmon, has gone from strength to strength.\nThe partnership highlighted during CRN’s 2017 Impact Awards, when Intuit Technologies was praised delivering a unique IoT stock monitoring solution, since then things have ramped up.\nThe company put the challenge to its trusted IT partner, Intuit Technologies, who accepted the task.\nIt’s a marked impact for the customer, and the project has also proven a learning experience for Intuit Technologies as well.""]"
2019-05-24,"['Stocks making the biggest moves midday: Foot Locker, Autodesk, Intuit & more - CNBC']",['https://news.google.com/rss/articles/CBMibGh0dHBzOi8vd3d3LmNuYmMuY29tLzIwMTkvMDUvMjQvc3RvY2tzLW1ha2luZy10aGUtYmlnZ2VzdC1tb3Zlcy1taWRkYXktZm9vdC1sb2NrZXItYXV0b2Rlc2staW50dWl0LW1vcmUuaHRtbNIBcGh0dHBzOi8vd3d3LmNuYmMuY29tL2FtcC8yMDE5LzA1LzI0L3N0b2Nrcy1tYWtpbmctdGhlLWJpZ2dlc3QtbW92ZXMtbWlkZGF5LWZvb3QtbG9ja2VyLWF1dG9kZXNrLWludHVpdC1tb3JlLmh0bWw?oc=5'],"['An employee arranges a sneaker display at a Foot Locker Inc. store inside the South Park Mall in Strongsville, Ohio.\nCheck out the companies making headlines midday Friday:Foot Locker — Shares of Foot Locker were down 16% after the shoe retailer reported adjusted quarterly earnings per share that were 7 cents below expectations.\nAutodesk — Autodesk dropped more than 4% after missing on the top and bottom lines of its first-quarter results.\nAutodesk posted earnings per share of 45 cents on revenue of $736 million.\nAnalysts expected earnings per share of 47 cents on revenue of $740 million, per Refinitiv.']"
2019-05-28,['Intuit Announces Acquisition of Origami Logic - Business Wire'],['https://news.google.com/rss/articles/CBMiZmh0dHBzOi8vd3d3LmJ1c2luZXNzd2lyZS5jb20vbmV3cy9ob21lLzIwMTkwNTI4MDA1NTgyL2VuL0ludHVpdC1Bbm5vdW5jZXMtQWNxdWlzaXRpb24tb2YtT3JpZ2FtaS1Mb2dpY9IBAA?oc=5'],"['Based in Silicon Valley, Origami Logic developed technology to analyze and gain insights from multiple data sets.\nOrigami Logic’s platform is capable of collecting data from a variety of sources and generating insights quickly and efficiently.\nPlease visit us for the latest news and in-depth information about Intuit and its brands and find us on social.\nFiscal 2019 guidance speaks only as of the date it was publicly issued by Intuit.\nOther forward-looking statements represent the judgment of the management of Intuit as of the date of this presentation.']"
2019-05-29,"['What Intuit knows about you - Axios', 'What Intuit, the Company Behind TurboTax and Mint, Knows About ... - Business Insider', 'Intuit folds up Origami Logic - - Enterprise Times']","['https://news.google.com/rss/articles/CBMiPGh0dHBzOi8vd3d3LmF4aW9zLmNvbS8yMDE5LzA1LzI5L3doYXQtaW50dWl0LWtub3dzLWFib3V0LXlvddIBAA?oc=5', 'https://news.google.com/rss/articles/CBMiQmh0dHBzOi8vd3d3LmJ1c2luZXNzaW5zaWRlci5jb20vd2hhdC1pbnR1aXQta25vd3MtYWJvdXQteW91LTIwMTktNdIBAA?oc=5', 'https://news.google.com/rss/articles/CBMiS2h0dHBzOi8vd3d3LmVudGVycHJpc2V0aW1lcy5jby51ay8yMDE5LzA1LzI5L2ludHVpdC1mb2xkcy11cC1vcmlnYW1pLWxvZ2ljL9IBAA?oc=5']","['', 'By giving your information to TurboTax, you also give it to Intuit, which can share it with its other business lines.\nCome tax season, Mint can find 1099 tax documents from financial institutions linked to your account and import them to TurboTax.\nMint can find 1099 tax documents from financial institutions linked to your account and import them to TurboTax.\nSo, Intuit is required to ask if it can use your TurboTax information for purposes ""other than the preparation and filing of your tax return.""\nif it can use your TurboTax information for purposes ""other than the preparation and filing of your tax return.""', '']"
2019-06-11,['2019 Review of ProSeries Tax by Intuit - CPAPracticeAdvisor.com'],['https://news.google.com/rss/articles/CBMiVWh0dHBzOi8vd3d3LmNwYXByYWN0aWNlYWR2aXNvci5jb20vMjAxOS8wNi8xMS8yMDE5LXJldmlldy1vZi1wcm9zZXJpZXMtdGF4LWJ5LWludHVpdC_SAQA?oc=5'],"['ProSeries Tax from Intuit is well-suited for small to mid-sized accounting firms that prepare both individual and business returns for clients.\nProSeries currently offers two plans; ProSeries Basic for firms handling 1040 forms exclusively, and ProSeries Professional, for firms that regularly handle both 1040 forms and business forms.\nProSeries Tax is available as a desktop or network application that can be installed on workstations, and does not currently offer cloud access or mobile apps.\nThe Professional version of ProSeries Tax also includes a Tax Planner to maximize services offered, and both editions of ProSeries Tax allow users to download documents and data from client financial institutions.\nTelephone, email, and chat support is available in ProSeries Tax, with all support costs included in the price of the subscription.']"
2019-06-24,"[""Intuit's CIO Helps Drive Big Data For The Little Guy - Forbes""]",['https://news.google.com/rss/articles/CBMiZmh0dHBzOi8vd3d3LmZvcmJlcy5jb20vc2l0ZXMvcGV0ZXJoaWdoLzIwMTkvMDYvMjQvaW50dWl0cy1jaW8taGVscHMtZHJpdmUtYmlnLWRhdGEtZm9yLXRoZS1saXR0bGUtZ3V5L9IBamh0dHBzOi8vd3d3LmZvcmJlcy5jb20vc2l0ZXMvcGV0ZXJoaWdoLzIwMTkvMDYvMjQvaW50dWl0cy1jaW8taGVscHMtZHJpdmUtYmlnLWRhdGEtZm9yLXRoZS1saXR0bGUtZ3V5L2FtcC8?oc=5'],['']
2019-07-04,['US fintech firm Intuit to grow R&D presence in Israel - The Times of Israel'],['https://news.google.com/rss/articles/CBMiU2h0dHBzOi8vd3d3LnRpbWVzb2Zpc3JhZWwuY29tL3VzLWZpbnRlY2gtZmlybS1pbnR1aXQtdG8tZ3Jvdy1yZC1wcmVzZW5jZS1pbi1pc3JhZWwv0gFXaHR0cHM6Ly93d3cudGltZXNvZmlzcmFlbC5jb20vdXMtZmludGVjaC1maXJtLWludHVpdC10by1ncm93LXJkLXByZXNlbmNlLWluLWlzcmFlbC9hbXAv?oc=5'],['']
2019-07-25,['U.S. Bank and Intuit Agreement Makes It Simpler for Customers to ... - Business Wire'],['https://news.google.com/rss/articles/CBMioAFodHRwczovL3d3dy5idXNpbmVzc3dpcmUuY29tL25ld3MvaG9tZS8yMDE5MDcyNTAwNTEyMS9lbi9VLlMuLUJhbmstYW5kLUludHVpdC1BZ3JlZW1lbnQtTWFrZXMtSXQtU2ltcGxlci1mb3ItQ3VzdG9tZXJzLXRvLVNoYXJlLUluZm9ybWF0aW9uLUJldHdlZW4tQXBwbGljYXRpb25z0gEA?oc=5'],"['The arrangement will allow customers of U.S. Bank and Intuit to connect their data using an application programming interface (API) between their U.S. Bank account and Intuit’s financial products.\nU.S. Bank customers will also be able to select the accounts and information they wish to authorize access directly to Intuit products, and those they do not.\nProtecting customer data is the highest priority for both U.S. Bank and Intuit.\nBank partnering with Intuit is an important step in making it even simpler for our customers to access their financial data,” said Gareth Gaston, executive vice president of Omnichannel at U.S. Bank.\nThe Minneapolis-based bank blends its relationship teams, branches and ATM network with mobile and online tools that allow customers to bank how, when and where they prefer.']"
2019-08-09,"['TSheets changes: CEO to exit, Boise campus rebranded to Intuit ... - boisedev.com']",['https://news.google.com/rss/articles/CBMic2h0dHBzOi8vYm9pc2VkZXYuY29tL25ld3MvMjAxOS8wOC8wOS90c2hlZXRzLWNoYW5nZXMtY2VvLXRvLWV4aXQtYm9pc2UtY2FtcHVzLXJlYnJhbmRlZC1mb3ItaW50dWl0LWdyb3d0aC1leHBlY3RlZC_SAQA?oc=5'],"['Tech company TSheets has almost doubled in size since its acquisition by QuickBooks and TurboTax parent-company Intuit Inc in January 2018.\nThe Eagle-based company, founded in the city in 2006, is shedding its name to become Intuit’s Boise site.\nAlong with its new leader, Intuit Boise site staff also announced plans for an additional facility and continued growth over the coming year.\nThe Boise site focuses on employee time tracking, as well as scheduling and job costing.\nAfter finishing out the year, Rissell, the company’s co-founder, plans to take some time to decompress and be with his family, said Kelsie Gwin, Intuit Boise site spokeswoman.']"
